
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 130, Train Loss: 0.006925408472307026, Train Iou: 0.05459674515806536, Validation Loss: 0.11849716864526272, Validation IOU: 0.2604816285915099
Epoch 131, Train Loss: 0.006846334878355264, Train Iou: 0.054130807484410105, Validation Loss: 0.13535522669553757, Validation IOU: 0.35460186340464245
Epoch 132, Train Loss: 0.0067260056035593156, Train Iou: 0.05337725741963972, Validation Loss: 0.3376416191458702, Validation IOU: 0.30890092173230266
Epoch 133, Train Loss: 0.006604318739846349, Train Iou: 0.05280617242093768, Validation Loss: 0.20969738066196442, Validation IOU: 0.3128906002241474
Epoch 134, Train Loss: 0.006422585179097951, Train Iou: 0.04955842942468853, Validation Loss: 0.12833015620708466, Validation IOU: 0.3097931155335747
Epoch 135, Train Loss: 0.006349298637360334, Train Iou: 0.049151637767025434, Validation Loss: 0.15224508196115494, Validation IOU: 0.31342503679204753
Epoch 136, Train Loss: 0.0063599381828680634, Train Iou: 0.05121005798017488, Validation Loss: 0.12416969239711761, Validation IOU: 0.30272461476754275
Epoch 137, Train Loss: 0.006275354721583426, Train Iou: 0.049324380720430064, Validation Loss: 0.11769538186490536, Validation IOU: 0.2775097167859297
Epoch 138, Train Loss: 0.006128374440595508, Train Iou: 0.04819587195526605, Validation Loss: 0.14648762717843056, Validation IOU: 0.32875537065439153
Epoch 139, Train Loss: 0.006061408785171807, Train Iou: 0.047049122263443335, Validation Loss: 0.18675244599580765, Validation IOU: 0.3046079382925998
Epoch 140, Train Loss: 0.00622269413433969, Train Iou: 0.05102326748775217, Validation Loss: 0.21148161590099335, Validation IOU: 0.3154275289600453
Epoch 141, Train Loss: 0.006069446704350412, Train Iou: 0.049285428234036796, Validation Loss: 0.1487932801246643, Validation IOU: 0.3096723098029555
Epoch 142, Train Loss: 0.00599847084376961, Train Iou: 0.04796834515752972, Validation Loss: 0.11482643336057663, Validation IOU: 0.24832621867195015
Epoch 143, Train Loss: 0.006054182909429074, Train Iou: 0.04932870529342067, Validation Loss: 0.15295745432376862, Validation IOU: 0.27050362334785555
Epoch 144, Train Loss: 0.005888931592926383, Train Iou: 0.04808341166170005, Validation Loss: 0.13286131620407104, Validation IOU: 0.27206597502529317
Epoch 145, Train Loss: 0.005917360144667328, Train Iou: 0.049040598027242026, Validation Loss: 0.17580034583806992, Validation IOU: 0.3611448398924701
Epoch 146, Train Loss: 0.006072956440038979, Train Iou: 0.05089016256239044, Validation Loss: 0.13882331177592278, Validation IOU: 0.3492509518972384
Epoch 147, Train Loss: 0.005833596782758832, Train Iou: 0.04971033105448499, Validation Loss: 0.15088659152388573, Validation IOU: 0.32245145011017784
Epoch 148, Train Loss: 0.0057651719078421594, Train Iou: 0.04771286689277936, Validation Loss: 0.12506642192602158, Validation IOU: 0.2846042825717645
Epoch 149, Train Loss: 0.005583232757635415, Train Iou: 0.046437049806789484, Validation Loss: 0.36905841529369354, Validation IOU: 0.3143615414854556
Epoch 150, Train Loss: 0.00559373467694968, Train Iou: 0.04692045275482393, Validation Loss: 0.17816755175590515, Validation IOU: 0.32287878264861053
Epoch 151, Train Loss: 0.005504551180638373, Train Iou: 0.044977987326392334, Validation Loss: 0.11511493101716042, Validation IOU: 0.28997172198351284
Epoch 152, Train Loss: 0.005417931079864502, Train Iou: 0.04455130112094194, Validation Loss: 0.1190465185791254, Validation IOU: 0.25623720999251287
Epoch 153, Train Loss: 0.005332528101280332, Train Iou: 0.043576111977186346, Validation Loss: 0.15396064147353172, Validation IOU: 0.33157588132419946
Epoch 154, Train Loss: 0.005288589419797063, Train Iou: 0.04362858306790177, Validation Loss: 0.18940167874097824, Validation IOU: 0.28950387433393127
Epoch 155, Train Loss: 0.005310298153199255, Train Iou: 0.044762674375844594, Validation Loss: 0.10748115181922913, Validation IOU: 0.25214924654983895
Epoch 156, Train Loss: 0.005249551171436906, Train Iou: 0.04372913386140156, Validation Loss: 0.12515860050916672, Validation IOU: 0.27918327892632455
Epoch 157, Train Loss: 0.005218527209945023, Train Iou: 0.043031149791638676, Validation Loss: 0.11254947073757648, Validation IOU: 0.27745252328204356
Epoch 158, Train Loss: 0.005169637687504292, Train Iou: 0.04349355354021822, Validation Loss: 0.1632450446486473, Validation IOU: 0.2696546606146226
Epoch 159, Train Loss: 0.005195032968185842, Train Iou: 0.044283085541148424, Validation Loss: 0.3734718859195709, Validation IOU: 0.31254629413621454
Epoch 160, Train Loss: 0.005066662956960499, Train Iou: 0.04359216020496906, Validation Loss: 0.18904172629117966, Validation IOU: 0.2897580696170723
Epoch 161, Train Loss: 0.005022680852562189, Train Iou: 0.04256619452894488, Validation Loss: 0.11546515114605427, Validation IOU: 0.2783112828189714
Epoch 162, Train Loss: 0.004987465147860348, Train Iou: 0.0419617649935903, Validation Loss: 0.19498156011104584, Validation IOU: 0.30729386109965406
Epoch 163, Train Loss: 0.0048934440594166516, Train Iou: 0.040206278746248485, Validation Loss: 0.1240980289876461, Validation IOU: 0.2561496902813414
